DKUBU,TID,CODE,VCODE,VENDOR,WCODE,MAKERNAME,TDATE,EDATE,TVOL,TEMA,SPRICE,PRICE,TAXRATE,TAXKUBU,SOUKINGAKU,SOUSUUIN,APRICE,HOKAN,NOTE,SYSNOTE,INPUTDATE,INPUTUSER,KARIKBN,MITSUMORINO,PCAPA,TANI3,IKOUFLAG
New,,PA11466,,1000128,,東北物流株式会社,2026/6/1,99/99/99,100.00,,46.00 ,46.00 ,,,,,,,,,,,,2026062401,,,
New,,PA11470,,1000128,,東北物流株式会社,2026/6/1,99/99/99,50.00,,826.00 ,826.00 ,,,,,,,,,,,,2026062401,,,
New,,PA11471,,1000128,,東北物流株式会社,2026/6/1,99/99/99,50.00,,469.00 ,469.00 ,,,,,,,,,,,,2026062401,,,
New,,PA11472,,1000128,,東北物流株式会社,2026/6/1,99/99/99,100.00,,379.00 ,379.00 ,,,,,,,,,,,,2026062401,,,
New,,PA11473,,1000128,,東北物流株式会社,2026/6/1,99/99/99,100.00,,598.00 ,598.00 ,,,,,,,,,,,,2026062401,,,
New,,PA11511,,1000128,,東北物流株式会社,2026/6/1,99/99/99,50.00,,90.00 ,90.00 ,,,,,,,,,,,,2026062401,,,
New,,PA11517,,1000128,,東北物流株式会社,2026/6/1,99/99/99,500.00,,259.00 ,259.00 ,,,,,,,,,,,,2026062401,,,
New,,PA11520,,1000128,,東北物流株式会社,2026/6/1,99/99/99,100.00,,149.00 ,149.00 ,,,,,,,,,,,,2026062401,,,
New,,PA11524,,1000128,,東北物流株式会社,2026/6/1,99/99/99,100.00,,12.00 ,12.00 ,,,,,,,,,,,,2026062401,,,
New,,PA11527,,1000128,,東北物流株式会社,2026/6/1,99/99/99,50.00,,686.00 ,686.00 ,,,,,,,,,,,,2026062401,,,
New,,PA11528,,1000128,,東北物流株式会社,2026/6/1,99/99/99,150.00,,104.00 ,104.00 ,,,,,,,,,,,,2026062401,,,
New,,PA11535,,1000128,,東北物流株式会社,2026/6/1,99/99/99,100.00,,184.00 ,184.00 ,,,,,,,,,,,,2026062401,,,
New,,PA11536,,1000128,,東北物流株式会社,2026/6/1,99/99/99,100.00,,29.00 ,29.00 ,,,,,,,,,,,,2026062401,,,
New,,PA11536,,1000128,,東北物流株式会社,2026/6/1,99/99/99,150.00,,29.00 ,29.00 ,,,,,,,,,,,,2026062401,,,
New,,PA11538,,1000128,,東北物流株式会社,2026/6/1,99/99/99,100.00,,18.00 ,18.00 ,,,,,,,,,,,,2026062401,,,
New,,PA11538,,1000128,,東北物流株式会社,2026/6/1,99/99/99,200.00,,18.00 ,18.00 ,,,,,,,,,,,,2026062401,,,
New,,PA11540,,1000128,,東北物流株式会社,2026/6/1,99/99/99,50.00,,154.00 ,154.00 ,,,,,,,,,,,,2026062401,,,
